num_job,num_machine,mean,std,seed,I_b,I_f,baseline,RANDOM_best,RANDOM_time,RUBI_best,RUBI_time,GT_best,GT_time
20,20,30,10,0,0.3578947368421052,0.36011080332409967,1809.64,1595,3.0859336853027344,1128,6.338055849075317,1196,6.913721799850464
20,25,30,10,0,0.31368421052631573,0.34429824561403505,2082.19,1706,3.6466610431671143,1405,7.986678600311279,1356,8.249835014343262
20,30,30,10,0,0.287719298245614,0.27404718693284935,2368.71,2080,4.380567789077759,1485,8.756598711013794,1526,10.272719383239746
20,35,30,10,0,0.2360902255639098,0.25077399380804954,2538.55,2283,5.111222267150879,1654,10.894803047180176,1648,11.263362646102905
20,40,30,10,0,0.24210526315789468,0.203778677462888,2759.91,2419,5.9225218296051025,1841,12.519213676452637,1820,12.98166036605835
20,45,30,10,0,0.1964912280701754,0.19617224880382772,3016.83,2686,6.27095627784729,1943,13.906283378601074,1944,14.590850353240967
20,50,30,10,0,0.18526315789473682,0.1686358754027927,3254.82,2881,7.807835578918457,2117,15.168627977371216,2098,16.718130588531494
20,60,30,10,0,0.15526315789473685,0.16770740410347904,3764.7,3326,8.325244188308716,2492,18.01096487045288,2430,19.80782675743103
20,70,30,10,0,0.11654135338345864,0.13501144164759724,4119.4,3753,9.67360544204712,2685,21.17000699043274,2713,22.851492643356323
20,80,30,10,0,0.1125,0.11925383077948035,4637.37,4240,11.371963024139404,3131,24.34399914741516,3086,25.72449040412903
20,90,30,10,0,0.1,0.10289769367238322,5022.59,4564,12.35478925704956,3489,28.092119932174683,3318,29.563912391662598
20,100,30,10,0,0.08947368421052632,0.09090909090909091,5463.85,4972,13.783145189285278,3697,30.198580503463745,3580,31.75812292098999
25,5,30,10,0,0.8333333333333334,0.8333333333333333,1135.92,961,1.0899295806884766,825,2.085477113723755,856,2.4641451835632324
25,10,30,10,0,0.6625,0.6527777777777779,1504.6,1276,2.5248308181762695,1031,4.199834823608398,1032,4.90554666519165
25,15,30,10,0,0.525,0.5386904761904762,1784.58,1584,2.8458683490753174,1175,6.034559965133667,1173,7.4760613441467285
25,20,30,10,0,0.4333333333333334,0.45394736842105265,2110.77,1810,4.07030987739563,1381,8.199932336807251,1362,8.63986873626709
25,25,30,10,0,0.385,0.37847222222222215,2441.93,2148,4.998479843139648,1705,10.633073091506958,1562,11.298481225967407
25,30,30,10,0,0.3555555555555555,0.3160919540229885,2661.51,2406,5.917023420333862,1686,12.70951771736145,1701,13.722432613372803
25,35,30,10,0,0.2738095238095238,0.29166666666666663,2845.48,2441,6.775862216949463,1826,14.777469158172607,1834,15.018680334091187
25,40,30,10,0,0.2552083333333333,0.2585470085470085,3120.12,2731,7.879511117935181,1991,16.934616804122925,2018,17.174434423446655
25,45,30,10,0,0.21666666666666667,0.22821969696969696,3372.56,2999,9.304380416870117,2188,17.663581132888794,2187,18.857971668243408
25,50,30,10,0,0.2125,0.20408163265306123,3616.4,3276,9.261060237884521,2294,19.025508642196655,2337,21.33623480796814
25,60,30,10,0,0.17152777777777775,0.17090395480225987,4099.25,3691,10.838728189468384,2634,22.56984829902649,2561,25.161447525024414
25,70,30,10,0,0.15476190476190474,0.161231884057971,4524.85,4236,12.937562465667725,2881,26.53022527694702,2879,29.613514184951782
25,80,30,10,0,0.128125,0.13871308016877634,4976.38,4541,15.244408130645752,3182,30.99325728416443,3169,33.82808589935303
25,90,30,10,0,0.1361111111111111,0.13202247191011235,5506.98,5025,17.386276483535767,3647,36.871315717697144,3503,39.62464141845703
25,100,30,10,0,0.12,0.11069023569023567,5921.29,5428,19.152730703353882,3958,40.59005904197693,3786,42.31797480583191
30,5,30,10,0,0.8620689655172413,0.8620689655172413,1350.98,1137,1.5251617431640625,954,2.9550392627716064,995,3.330256223678589
30,10,30,10,0,0.7137931034482758,0.6973180076628354,1713.73,1475,2.5504233837127686,1193,5.085000276565552,1162,6.076143264770508
30,15,30,10,0,0.5839080459770115,0.5788177339901478,2044.83,1669,3.7191004753112793,1341,7.354787588119507,1292,8.702657699584961
30,20,30,10,0,0.49482758620689654,0.500907441016334,2363.57,2043,4.88557505607605,1524,9.647175788879395,1514,10.669378280639648
30,25,30,10,0,0.4482758620689655,0.4252873563218391,2626.3,2370,5.38267183303833,1709,11.233749389648438,1638,13.012791395187378
30,30,30,10,0,0.37011494252873567,0.366230677764566,2906.41,2606,6.444822549819946,1898,13.849642515182495,1855,15.810482740402222
30,35,30,10,0,0.34088669950738915,0.33772819472616633,3244.75,2888,7.6188507080078125,2077,15.418509721755981,1967,17.74200677871704
30,40,30,10,0,0.31551724137931036,0.29885057471264365,3472.12,3175,8.3102867603302,2363,18.424885034561157,2205,20.075815677642822
