Problem,Initialization,Seed,Best Makespan,Best Reached Time
la15,60,1,1220,624.9188962
la15,60,2,1261,701.516922
la15,60,3,1257,688.1703084
la15,60,4,1260,370.1148636
la15,80,0,1289,704.2575548
la15,80,1,1228,739.2347631
la15,80,2,1224,509.313839
la15,80,3,1259,729.94294
la15,80,4,1265,633.2251854
la15,100,0,1243,754.1964717
la15,100,1,1260,763.7259636
la15,100,2,1207,458.8937397
la15,100,3,1207,435.3603499
la15,100,4,1207,600.736196
la16,40,0,1042,573.6926966
la16,40,1,1015,688.110368
la16,40,2,1024,752.3947358
la16,40,3,987,759.3085365
la16,40,4,1015,214.062315
la16,60,0,1015,527.1277771
la16,60,1,1003,700.6839502
la16,60,2,1003,399.8607924
la07,0,0,890,380.139015
la07,0,1,912,134.3682857
la07,0,2,904,220.9358635
la07,0,3,890,461.581152
la07,0,4,890,275.9034495
la07,20,0,898,458.6353507
la07,20,1,890,283.2789001
la07,20,2,897,204.2268379
la07,20,3,890,315.4811864
la07,20,4,890,478.5004089
la08,0,0,863,70.81991076
la08,0,1,863,146.7444704
la08,0,2,863,267.7084551
la08,0,3,863,192.1887994
la08,0,4,863,199.9907475
la09,0,0,951,220.6379924
la09,0,1,951,80.61030412
la09,0,2,951,138.9721866
la09,0,3,951,81.60294151
la09,0,4,951,80.73237276
la09,20,0,951,47.13144708
la09,20,1,951,0.5408113
la09,20,2,951,0.49791193
la09,20,3,951,0.502517462
la09,20,4,951,0.554169416
la10,0,0,958,70.78022718
la10,0,1,958,24.02456427
la10,0,2,958,112.327188
la10,0,3,958,24.33203506
la10,0,4,958,43.92391634
la10,20,0,958,0.5455935
la10,20,1,958,0.544533968
la10,20,2,958,0.489683867
la10,20,3,958,0.525481224
la10,20,4,958,0.524795532
la11,0,0,1222,150.3719947
la11,0,1,1222,193.0008085
la11,0,2,1222,247.8861377
la11,0,3,1222,218.2724652
la11,0,4,1222,196.1373091
la11,20,0,1222,74.5844841
la11,20,1,1222,30.78219509
la11,20,2,1222,121.7286382
la11,20,3,1222,61.2220974
la11,20,4,1222,86.5609374
la12,0,0,1039,253.5683098
la12,0,1,1039,75.43286633
la12,0,2,1039,120.1566281
la12,0,3,1039,358.9969625
la12,0,4,1039,179.8513262
la12,20,0,1039,35.21000004
la12,20,1,1039,9.265689611
la12,20,2,1039,61.20794964
la12,20,3,1039,69.46980238
la12,20,4,1039,47.72618365
la13,0,0,1150,291.1516173
la13,0,1,1150,240.8125343
la13,0,2,1150,191.1478295
la13,0,3,1150,122.8405821
la13,0,4,1150,205.2458761
la13,20,0,1150,60.75509763
la13,20,1,1150,30.90460539
la13,20,2,1150,22.34367728
la13,20,3,1150,0.636328459
la13,20,4,1150,0.656248569
la14,0,0,1292,44.14658451
la14,0,1,1292,26.61518788
la14,0,2,1292,70.35725522
la14,0,3,1292,18.10681844
la14,0,4,1292,35.60216284
la14,20,0,1292,0.659412384
la14,20,1,1292,0.643155813
la14,20,2,1292,0.65736866
la14,20,3,1292,0.668805122
la14,20,4,1292,0.649971247
la15,0,0,1279,550.0530133
la15,0,1,1260,851.6009698
la15,0,2,1238,807.5862772
la15,0,3,1215,626.8888042
la15,0,4,1207,824.8201306
la15,20,0,1256,841.5436282
la15,20,1,1222,851.2647386
la15,20,2,1216,770.3315253
la15,20,3,1323,556.5761685
la15,20,4,1219,537.2784781
la16,0,0,1005,654.6606464
la16,0,1,1016,351.1017299
la16,0,2,982,742.6125851
la16,0,3,1012,869.4863567
la16,0,4,993,855.2856746
la16,20,0,1042,354.2098925
la16,20,1,1024,499.6824472
la16,20,2,988,677.146019
la16,20,3,995,311.1508174
la16,20,4,982,519.0874572
la17,0,0,805,849.191838
la17,0,1,831,465.9301987
la17,0,2,821,590.5377436
la17,0,3,842,358.7698019
la17,0,4,861,870.6718731
la17,20,0,793,848.3290815
la17,20,1,826,628.1127326
la17,20,2,822,308.2293463
la17,20,3,846,819.4132185
la17,20,4,820,302.7652123
la17,40,0,793,336.2674804
la17,40,1,793,807.8804295
la17,40,2,820,666.7826359
la17,40,3,820,421.1362379
la17,40,4,833,241.3803315
la17,60,0,830,378.2565341
la17,60,1,833,292.2465422
la17,60,2,827,633.9799876
la17,60,3,820,684.4775357
la17,60,4,820,483.2774911
la17,80,0,793,320.0828137
la17,80,1,834,339.917268
la17,80,2,793,716.7440569
la17,80,3,820,595.2983365
la17,80,4,820,631.4635437
la17,100,0,793,798.6237514
la17,100,1,820,630.5605888
la17,100,2,833,150.1876802
la17,100,3,833,201.5844686
la17,100,4,820,782.0916557
la18,0,0,908,518.9771488
la18,0,1,871,650.8009186
la18,0,2,888,439.2224936
la18,0,3,907,912.310467
la18,0,4,874,503.4105563
