num_job,num_machine,mean,std,seed,I_b,I_f,baseline,RANDOM_best,RANDOM_time,RUBI_best,RUBI_time,GT_best,GT_time
25,30,30,10,2,0.3277777777777777,0.3074712643678161,2629.48,2325,5.183228969573975,1744,10.94668459892273,1664,12.070926427841187
25,35,30,10,2,0.2869047619047619,0.28431372549019607,2890.81,2594,6.07075572013855,1804,12.582595586776733,1836,13.40415334701538
25,40,30,10,2,0.2625,0.26816239316239315,3130.89,2768,7.012358903884888,1965,14.837051153182983,1995,17.731678247451782
25,45,30,10,2,0.24166666666666667,0.25,3342.18,3045,8.657041788101196,2184,17.809089422225952,2128,19.032089471817017
25,50,30,10,2,0.21916666666666665,0.20833333333333331,3597.71,3200,9.930635213851929,2326,19.985600471496582,2295,22.054312705993652
30,5,30,10,2,0.8620689655172414,0.8620689655172414,1282.68,1035,1.501227617263794,925,2.9091086387634277,947,3.5067920684814453
30,10,30,10,2,0.696551724137931,0.7011494252873562,1684.34,1457,2.727787971496582,1161,5.3841352462768555,1144,6.246975898742676
30,15,30,10,2,0.5931034482758621,0.5738916256157636,2043.64,1762,3.885014295578003,1361,8.04810380935669,1293,8.902911186218262
30,20,30,10,2,0.496551724137931,0.4900181488203266,2366.84,1973,5.241186618804932,1543,10.021520614624023,1485,11.187124252319336
30,25,30,10,2,0.42482758620689653,0.42241379310344834,2571.81,2253,5.833383798599243,1683,11.526803493499756,1653,13.483903408050537
30,30,30,10,2,0.3689655172413794,0.3876337693222355,2853.22,2509,6.390883922576904,1784,13.968336820602417,1759,16.197543382644653
30,35,30,10,2,0.3438423645320197,0.345841784989858,3156.0,2767,7.657978773117065,1982,17.554288625717163,1964,18.336126804351807
30,40,30,10,2,0.3094827586206897,0.31476569407603894,3388.88,3052,9.096653938293457,2168,19.338131189346313,2156,21.978594064712524
30,45,30,10,2,0.281992337164751,0.2727272727272727,3733.2,3376,10.138613939285278,2362,21.246216773986816,2310,23.308810710906982
30,50,30,10,2,0.26896551724137935,0.24630541871921183,3920.29,3512,10.772881746292114,2492,23.616958379745483,2426,26.277541637420654
35,5,30,10,2,0.8823529411764707,0.8823529411764707,1494.7,1266,1.6371235847473145,1145,3.294593572616577,1148,4.482532739639282
35,10,30,10,2,0.7411764705882352,0.741830065359477,1877.4,1598,3.1776204109191895,1283,6.255013942718506,1310,8.076137065887451
35,15,30,10,2,0.6176470588235294,0.6260504201680673,2278.49,1886,4.3185083866119385,1548,8.477670192718506,1503,10.857572317123413
35,20,30,10,2,0.5382352941176471,0.5356037151702786,2595.48,2224,5.738195180892944,1704,11.277686357498169,1638,13.202790975570679
35,25,30,10,2,0.46352941176470597,0.4522058823529411,2875.25,2538,6.516294240951538,1824,13.511895418167114,1812,15.992368936538696
35,30,30,10,2,0.4137254901960784,0.42596348884381335,3171.71,2851,7.7469446659088135,1946,16.184880256652832,1988,18.729825019836426
35,35,30,10,2,0.38319327731092434,0.35380622837370235,3419.26,3060,8.791000604629517,2260,18.54632592201233,2130,21.534396409988403
35,40,30,10,2,0.35073529411764703,0.3461538461538461,3728.05,3290,9.77653694152832,2379,21.08987283706665,2324,24.611833572387695
35,45,30,10,2,0.30980392156862746,0.30414438502673796,3974.44,3534,10.727521896362305,2501,23.53658652305603,2459,26.26266837120056
35,50,30,10,2,0.2723529411764706,0.28331332533013204,4182.49,3701,11.624517440795898,2556,25.538602352142334,2564,28.736127614974976
40,5,30,10,2,0.8974358974358975,0.8974358974358975,1713.5,1440,1.9367611408233643,1287,3.6983776092529297,1278,5.234500169754028
40,10,30,10,2,0.7717948717948717,0.7720797720797721,2106.23,1845,3.0235142707824707,1453,6.750212907791138,1448,8.83465027809143
40,15,30,10,2,0.6649572649572649,0.6666666666666666,2476.89,2056,5.258538484573364,1653,11.741006851196289,1565,12.274813652038574
40,20,30,10,2,0.582051282051282,0.5802968960863698,2772.19,2519,5.8712568283081055,1803,13.204985857009888,1740,15.639901638031006
40,25,30,10,2,0.5076923076923077,0.5138888888888888,3133.07,2831,7.866103410720825,2048,15.68508267402649,1958,18.52683973312378
40,30,30,10,2,0.46153846153846145,0.4615384615384615,3420.89,3047,9.247535943984985,2130,18.23389434814453,2099,21.841091871261597
40,35,30,10,2,0.4227106227106227,0.40422322775263947,3770.84,3481,10.792768001556396,2521,21.49079418182373,2329,24.951788187026978
40,40,30,10,2,0.3641025641025641,0.3800131492439185,3955.42,3587,11.947826385498047,2457,24.03176474571228,2402,29.046393156051636
40,45,30,10,2,0.34017094017094013,0.3368298368298368,4262.52,3791,13.590128183364868,2783,26.594815731048584,2610,32.570170879364014
40,50,30,10,2,0.29948717948717946,0.31868131868131866,4573.16,4122,14.543596506118774,2877,30.506131649017334,2807,36.01470446586609
45,5,30,10,2,0.909090909090909,0.9090909090909091,1875.26,1612,2.0375776290893555,1485,4.183560132980347,1451,6.159069299697876
45,10,30,10,2,0.7977272727272726,0.7979797979797979,2278.72,1988,3.6471173763275146,1589,7.690664768218994,1553,9.976595163345337
45,15,30,10,2,0.7,0.7012987012987012,2703.73,2317,5.782120704650879,1799,11.5177481174469,1789,14.193761587142944
45,20,30,10,2,0.615909090909091,0.6112440191387559,3013.27,2726,6.938335657119751,2058,14.218120336532593,1941,18.177807092666626
45,25,30,10,2,0.54,0.5482954545454546,3337.74,3056,8.651225090026855,2150,17.278117895126343,2074,21.56421995162964
45,30,30,10,2,0.4946969696969697,0.4929467084639499,3635.04,3278,9.662614822387695,2346,21.02572202682495,2279,25.00990343093872
45,35,30,10,2,0.44870129870129866,0.4425133689839572,3961.86,3594,11.557314157485962,2567,23.769588947296143,2451,28.835920095443726
45,40,30,10,2,0.4193181818181818,0.398018648018648,4350.19,3995,12.624021053314209,2738,26.997236013412476,2643,33.67537760734558
